datetime,sw_radiation,temp_2m,cloud_cover
2020-06-09T17:00,0.211,37.0,100
2020-06-09T18:00,0.086,36.4,100
2020-06-09T19:00,0.001,35.9,100
2020-06-09T20:00,0.0,34.9,100
2020-06-09T21:00,0.0,33.3,100
2020-06-09T22:00,0.0,31.9,95
2020-06-09T23:00,0.0,31.3,84
2020-06-10T00:00,0.0,30.6,80
2020-06-10T01:00,0.0,30.0,93
2020-06-10T02:00,0.0,29.4,95
2020-06-10T03:00,0.0,28.9,96
2020-06-10T04:00,0.0,28.5,97
2020-06-10T05:00,0.0,28.0,100
2020-06-10T06:00,0.006,28.4,100
2020-06-10T07:00,0.061,28.6,100
2020-06-10T08:00,0.183,29.2,100
2020-06-10T09:00,0.225,29.3,100
2020-06-10T10:00,0.184,29.5,100
2020-06-10T11:00,0.335,31.8,100
2020-06-10T12:00,0.406,34.0,100
2020-06-10T13:00,0.218,31.1,100
2020-06-10T14:00,0.16,31.6,100
2020-06-10T15:00,0.193,32.0,100
2020-06-10T16:00,0.17,33.3,100
2020-06-10T17:00,0.096,33.4,100
2020-06-10T18:00,0.021,33.1,100
2020-06-10T19:00,0.0,30.7,100
2020-06-10T20:00,0.0,27.0,100
2020-06-10T21:00,0.0,26.7,99
2020-06-10T22:00,0.0,26.0,100
2020-06-10T23:00,0.0,25.5,100
2020-06-11T00:00,0.0,25.4,100
2020-06-11T01:00,0.0,25.6,100
2020-06-11T02:00,0.0,25.7,100
2020-06-11T03:00,0.0,25.2,100
2020-06-11T04:00,0.0,24.9,100
2020-06-11T05:00,0.0,24.9,100
2020-06-11T06:00,0.004,25.2,100
2020-06-11T07:00,0.022,25.2,100
2020-06-11T08:00,0.066,25.6,100
2020-06-11T09:00,0.246,26.6,100
2020-06-11T10:00,0.32,27.5,100
2020-06-11T11:00,0.317,27.9,100
